task,latency,load
generate_sensor_data,16,high
process_sensor_data,1,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,2,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,11,high
process_sensor_data,1,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,11,high
process_sensor_data,1,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,2,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,2,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,16,high
process_sensor_data,2,high
generate_sensor_data,2,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,4,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
publish_data,251,high
publish_data,112,high
publish_data,110,high
publish_data,130,high
publish_data,117,high
publish_data,122,high
publish_data,129,high
publish_data,120,high
publish_data,123,high
publish_data,118,high
publish_data,112,high
publish_data,126,high
publish_data,117,high
publish_data,113,high
generate_sensor_data,6,high
process_sensor_data,0,high
publish_data,168,high
publish_data,141,high
publish_data,138,high
publish_data,126,high
publish_data,129,high
publish_data,135,high
publish_data,122,high
publish_data,125,high
generate_sensor_data,8,high
process_sensor_data,1,high
generate_sensor_data,5,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
publish_data,246,high
generate_sensor_data,3,high
process_sensor_data,0,high
publish_data,151,high
generate_sensor_data,3,high
process_sensor_data,0,high
publish_data,168,high
generate_sensor_data,3,high
process_sensor_data,0,high
publish_data,151,high
generate_sensor_data,3,high
process_sensor_data,0,high
publish_data,125,high
publish_data,215,high
publish_data,127,high
publish_data,147,high
publish_data,137,high
generate_sensor_data,7,high
process_sensor_data,1,high
generate_sensor_data,4,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,2,high
process_sensor_data,0,high
generate_sensor_data,2,high
process_sensor_data,0,high
generate_sensor_data,2,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
publish_data,228,high
publish_data,121,high
publish_data,104,high
publish_data,152,high
publish_data,199,high
generate_sensor_data,9,high
process_sensor_data,1,high
generate_sensor_data,4,high
process_sensor_data,0,high
generate_sensor_data,4,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,2,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
publish_data,273,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
publish_data,143,high
publish_data,127,high
publish_data,101,high
publish_data,106,high
publish_data,137,high
publish_data,110,high
generate_sensor_data,10,high
process_sensor_data,1,high
generate_sensor_data,7,high
process_sensor_data,1,high
generate_sensor_data,4,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
publish_data,234,high
generate_sensor_data,3,high
process_sensor_data,0,high
publish_data,150,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
publish_data,129,high
publish_data,125,high
publish_data,120,high
publish_data,113,high
generate_sensor_data,9,high
process_sensor_data,1,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,2,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,2,high
process_sensor_data,0,high
publish_data,208,high
publish_data,131,high
publish_data,125,high
publish_data,114,high
publish_data,127,high
publish_data,212,high
publish_data,227,high
generate_sensor_data,8,high
process_sensor_data,0,high
generate_sensor_data,2,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,2,high
process_sensor_data,0,high
generate_sensor_data,2,high
process_sensor_data,0,high
generate_sensor_data,2,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,2,high
process_sensor_data,0,high
publish_data,178,high
publish_data,91,high
publish_data,83,high
publish_data,80,high
publish_data,88,high
publish_data,176,high
generate_sensor_data,7,high
process_sensor_data,0,high
generate_sensor_data,4,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,2,high
process_sensor_data,0,high
publish_data,218,high
generate_sensor_data,3,high
process_sensor_data,0,high
generate_sensor_data,3,high
process_sensor_data,0,high
publish_data,132,high
generate_sensor_data,3,high
process_sensor_data,0,high
publish_data,130,high
publish_data,115,high
publish_data,111,high
publish_data,109,high
publish_data,113,high
